id;name;category;address;phone;email;website;workingHours;description
1;"ЦНАП м. Ужгород";"ЦНАП";"пл. Поштова, 3, Ужгород";"+380312123456";"cnap@uzh.gov.ua";"https://rada-uzhgorod.gov.ua";"09:00-18:00";"Надання адміністративних послуг мешканцям міста."
2;"Ужгородська міська рада";"Міська рада";"пл. Поштова, 3, Ужгород";"+380312111111";"office@rada-uzhgorod.gov.ua";"https://rada-uzhgorod.gov.ua";"08:30-17:30";"Орган місцевого самоврядування міста Ужгород."
3;"Пенсійний фонд";"Пенсійний фонд";"вул. Загорська, 30, Ужгород";"+380312654321";"info@pfu.gov.ua";"https://www.pfu.gov.ua";"08:00-17:00";"Обслуговування громадян з питань пенсійного забезпечення."
4;"Головне управління ДПС у Закарпатській області";"Податкова служба";"вул. Волошина, 52, Ужгород";"+380312777001";"tax@tax.gov.ua";"https://tax.gov.ua";"08:00-17:00";"Надання податкових консультацій та прийом звітності."
5;"Управління соціального захисту населення";"Соціальний захист";"вул. Ференца Ракоці, 7, Ужгород";"+380312777002";"social@uzh.gov.ua";"https://uzh.gov.ua";"08:30-17:30";"Призначення державної допомоги та соціальних виплат."
6;"Ужгородський відділ ДРАЦС";"ДРАЦС";"вул. Небесної Сотні, 5, Ужгород";"+380312777003";"dracs@minjust.gov.ua";"https://minjust.gov.ua";"09:00-18:00";"Державна реєстрація актів цивільного стану."
7;"Ужгородський міський центр зайнятості";"Центр зайнятості";"вул. Мукачівська, 10, Ужгород";"+380312777004";"employment@cz.gov.ua";"https://www.dcz.gov.ua";"08:00-17:00";"Сприяння працевлаштуванню населення та реєстрація безробітних."
8;"Головне управління Національної поліції в Закарпатській області";"Поліція";"вул. Ракоці, 13, Ужгород";"+380312777005";"police@zk.npu.gov.ua";"https://zk.npu.gov.ua";"Цілодобово";"Забезпечення правопорядку та прийом звернень громадян."
9;"Закарпатська обласна державна адміністрація";"Державна адміністрація";"пл. Народна, 4, Ужгород";"+380312777006";"office@carpathia.gov.ua";"https://carpathia.gov.ua";"08:00-17:00";"Координація діяльності виконавчої влади в області."
10;"Ужгородська міська поліклініка";"Медична установа";"вул. Грибоєдова, 20, Ужгород";"+380312777007";"clinic@uzhmed.ua";"https://uzhmed.ua";"08:00-18:00";"Надання первинної та амбулаторної медичної допомоги."
11;"Сервісний центр МВС м. Ужгород";"Сервісний центр";"вул. Бородіна, 14, Ужгород";"+380312777008";"sc@hsc.gov.ua";"https://hsc.gov.ua";"09:00-18:00";"Реєстрація транспортних засобів та видача посвідчень водія."
12;"Управління освіти Ужгородської міської ради";"Освіта";"вул. Жупанатська, 3, Ужгород";"+380312777009";"education@uzh.gov.ua";"https://uzh.gov.ua";"08:30-17:30";"Організація діяльності закладів освіти міста."
13;"Ужгородський районний територіальний центр комплектування";"ТЦК";"вул. Олега Куцина, 15, Ужгород";"+380312777010";"tck@mil.gov.ua";"https://mil.gov.ua";"09:00-18:00";"Ведення військового обліку та оформлення відповідних документів."
14;"Відділ державної міграційної служби у м. Ужгород";"Міграційна служба";"вул. Собранецька, 145, Ужгород";"+380312777011";"dms@dmsu.gov.ua";"https://dmsu.gov.ua";"09:00-18:00";"Оформлення паспортних документів та реєстрація іноземців."
15;"Ужгородський місцевий центр з надання безоплатної правничої допомоги";"Правова допомога";"вул. Капушанська, 35, Ужгород";"+380312777012";"bpd@legalaid.gov.ua";"https://legalaid.gov.ua";"09:00-18:00";"Надання безоплатної первинної та вторинної правової допомоги."
