id;institutionId;name;description;documentsRequired;executionTime;cost;notes
1;1;"Реєстрація місця проживання";"Послуга з реєстрації місця проживання громадянина.";"Паспорт, ІПН, заява";"1-3 дні";"Безкоштовно";"Подання здійснюється особисто."
2;1;"Видача довідки про склад сім’ї";"Отримання довідки про склад сім’ї.";"Паспорт, заява";"1 день";"Безкоштовно";"Можлива попередня електронна черга."
3;3;"Призначення пенсії за віком";"Оформлення пенсійних виплат за віком.";"Паспорт, трудова книжка, ІПН";"до 10 днів";"Безкоштовно";"Потрібна повна перевірка документів."
4;2;"Подання електронного звернення";"Подання звернення до міської ради.";"ПІБ, текст звернення, контакти";"до 30 днів";"Безкоштовно";"Можна подати онлайн."
5;1;"Реєстрація місця перебування";"Оформлення тимчасової реєстрації місця перебування.";"Паспорт, заява, документ на житло";"1-3 дні";"Безкоштовно";"Подання за місцем звернення."
6;1;"Видача витягу з реєстру територіальної громади";"Надання офіційного витягу з реєстру територіальної громади.";"Паспорт, заява";"1 день";"Безкоштовно";"Можливе отримання через ЦНАП."
7;1;"Надання дозволу на розміщення зовнішньої реклами";"Оформлення дозвільних документів на рекламні конструкції.";"Заява, схема розміщення, ескіз";"до 10 днів";"Платно";"Розмір оплати залежить від типу реклами."
8;2;"Розгляд письмового звернення громадян";"Прийом та опрацювання письмових звернень.";"Заява або звернення";"до 30 днів";"Безкоштовно";"Можна подати поштою або особисто."
9;2;"Запис на особистий прийом до посадових осіб";"Організація прийому громадян представниками міської ради.";"Паспорт, короткий зміст питання";"1 день";"Безкоштовно";"Попередній запис обов'язковий."
10;2;"Надання інформації за запитом";"Надання публічної інформації на запит громадянина.";"Інформаційний запит";"до 5 днів";"Безкоштовно";"У складних випадках термін може бути продовжено."
11;3;"Перерахунок пенсії";"Оновлення розміру пенсійних виплат згідно з чинним законодавством.";"Паспорт, пенсійне посвідчення, заява";"до 10 днів";"Безкоштовно";"Проводиться після перевірки документів."
12;3;"Видача довідки про розмір пенсії";"Надання довідки для подання в інші установи.";"Паспорт, пенсійне посвідчення";"1-2 дні";"Безкоштовно";"Можливе особисте отримання."
13;3;"Призначення допомоги на поховання пенсіонера";"Оформлення одноразової допомоги у зв'язку зі смертю пенсіонера.";"Свідоцтво про смерть, паспорт заявника, заява";"до 5 днів";"Безкоштовно";"Потрібні оригінали документів."
14;4;"Отримання довідки про відсутність заборгованості";"Видача довідки про стан податкових розрахунків.";"Заява, ІПН";"до 5 днів";"Безкоштовно";"Для фізичних та юридичних осіб."
